,良い/悪い,好きな/嫌いな,繊細な/無骨な,明るい/暗い,陽気な/陰気な,騒がしい/静かな,動的な/静的な,緊張した/緩んだ,軽い/重い,派手な/地味な,鋭い/鈍い,暖かい/冷たい,丈夫な/華奢な,湿った/乾いた,高級感/安っぽい,硬い/柔らかい
01,2,2,2,2,2,4,4,3,2,3,4,2,3,2,3,4
02,1,2,3,2,1,5,2,4,1,3,4,1,4,2,5,5
03,2,2,4,1,1,4,2,4,2,4,5,1,2,2,4,2
04,2,2,4,3,4,4,3,2,3,4,4,4,3,4,3,4
05,1,2,5,2,3,4,2,4,3,4,5,2,2,3,3,3
06,1,1,1,3,3,5,5,1,3,1,5,3,5,5,1,1
07,3,2,3,2,2,4,3,3,1,4,4,2,3,3,4,2
08,2,2,5,2,1,3,1,2,2,4,5,1,2,3,5,4
09,1,1,3,1,1,4,2,4,1,2,4,1,2,2,4,5
10,1,1,2,1,2,5,5,3,2,4,5,1,3,4,1,5
11,1,1,4,2,3,4,4,4,3,5,5,5,2,4,4,4
12,1,3,5,2,1,5,2,4,2,5,5,2,4,3,2,4
13,2,2,2,1,2,5,4,5,1,4,5,1,4,4,4,5
14,2,2,2,2,2,4,2,5,2,2,4,1,2,2,3,5
15,1,3,2,1,2,5,5,4,2,4,5,2,2,2,2,5
16,3,2,3,2,2,4,4,3,1,4,4,3,4,3,2,4
17,1,2,3,2,2,4,4,2,2,3,3,4,2,4,4,2
18,2,2,1,2,3,4,4,4,1,4,4,3,5,4,3,2
19,3,1,3,2,2,5,4,4,1,5,4,4,3,3,4,3
20,2,2,2,3,3,5,5,3,3,4,4,3,3,3,3,4
21,2,2,2,2,2,4,2,4,2,3,4,2,3,3,4,4
22,3,3,4,2,2,3,3,4,3,3,5,2,2,3,4,4
23,2,1,3,2,2,4,3,2,2,2,4,2,4,2,3,2
24,3,2,2,2,2,4,4,4,4,3,4,2,2,4,2,4
25,1,2,4,1,1,3,1,5,2,3,5,1,3,2,4,4
26,2,2,1,1,2,4,4,4,1,4,4,1,4,4,3,4
27,1,1,1,1,3,4,4,2,3,4,4,3,4,3,4,5
28,2,1,1,1,1,2,2,4,2,2,4,2,3,2,4,5
29,2,2,3,2,2,3,3,4,2,2,5,2,2,4,4,4
30,1,2,4,1,1,3,1,4,2,2,5,2,3,3,4,3
31,1,2,2,1,1,4,2,2,2,2,5,1,1,2,1,5
32,1,1,2,2,2,4,4,4,2,4,5,2,2,2,3,5
33,2,2,1,2,3,5,5,4,1,3,4,4,5,4,3,3
34,1,1,4,1,1,4,3,5,1,3,4,1,3,3,5,3
35,1,1,1,2,1,5,3,5,1,3,5,2,3,3,1,5
36,1,2,2,3,3,4,2,3,2,5,5,2,2,1,3,5
37,2,2,4,2,2,4,4,4,2,4,4,2,4,1,5,5
