,良い/悪い,好きな/嫌いな,繊細な/無骨な,明るい/暗い,陽気な/陰気な,騒がしい/静かな,動的な/静的な,緊張した/緩んだ,軽い/重い,派手な/地味な,鋭い/鈍い,暖かい/冷たい,丈夫な/華奢な,湿った/乾いた,高級感/安っぽい,硬い/柔らかい
1,4,4,4,3,3,2,3,3,4,3,3,4,3,3,3,2
2,3,2,4,2,3,3,1,2,4,3,3,2,2,4,4,3
3,4,4,4,3,4,4,4,3,4,4,4,2,2,4,3,2
4,3,3,4,4,3,3,2,4,2,3,3,2,3,3,3,4
5,3,3,4,2,2,2,3,4,2,2,3,3,4,3,4,2
6,3,3,1,3,4,4,2,5,3,4,4,3,2,3,3,2
7,2,3,3,2,1,2,2,4,2,3,3,2,2,3,4,4
8,4,4,4,2,2,2,2,4,4,2,2,4,2,4,4,2
9,3,3,5,3,4,4,4,4,4,4,4,2,2,2,5,2
10,4,5,5,3,4,2,4,4,4,2,1,4,1,1,4,2
11,4,4,4,5,4,3,2,2,4,4,2,4,2,3,5,3
12,3,2,5,4,4,3,4,5,4,5,4,2,2,2,4,4
13,4,3,4,2,2,2,2,1,1,2,2,1,4,2,5,4
14,4,4,5,4,4,4,4,2,4,4,5,3,2,4,4,2
15,3,2,4,1,2,3,2,4,3,2,3,2,2,4,2,2
16,3,4,3,3,3,3,3,2,3,3,3,3,2,3,3,2
17,3,4,4,4,4,4,2,2,4,4,2,4,3,2,2,2
18,3,2,4,4,3,4,2,2,1,4,2,4,4,4,2,2
19,3,3,4,4,4,3,2,2,2,3,3,5,2,5,2,2
20,3,3,3,2,2,3,3,4,2,3,4,3,4,3,3,3
21,3,3,4,4,4,4,4,2,2,4,3,4,2,4,3,3
22,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3
23,4,4,2,4,4,2,2,2,5,4,4,4,3,4,2,2
24,3,4,4,4,4,4,4,3,3,4,2,4,2,2,4,2
25,3,5,3,3,4,3,4,2,3,3,2,4,3,2,4,2
26,3,3,4,3,3,4,4,3,4,4,4,3,2,3,2,3
27,2,3,4,1,1,1,2,4,2,3,3,3,2,3,4,2
28,4,3,2,2,2,2,2,3,3,3,2,3,2,3,4,3
29,4,4,4,4,4,4,4,2,4,4,4,4,2,2,4,2
30,2,2,4,4,3,4,3,2,4,4,4,2,2,3,2,2
31,3,4,3,4,4,3,2,4,5,3,3,5,3,5,4,1
32,1,2,2,2,2,4,4,3,2,4,4,4,2,3,4,4
33,4,4,4,2,2,2,2,3,5,2,2,3,1,3,5,2
34,4,4,4,2,2,3,3,4,2,2,3,2,3,3,5,3
35,4,4,2,2,3,2,2,4,2,2,4,2,2,2,5,2
36,2,3,3,4,4,3,2,2,4,3,4,4,2,4,4,4
37,4,4,4,4,4,1,5,1,4,2,2,4,1,1,5,1
