,良い/悪い,好きな/嫌いな,繊細な/無骨な,明るい/暗い,陽気な/陰気な,騒がしい/静かな,動的な/静的な,緊張した/緩んだ,軽い/重い,派手な/地味な,鋭い/鈍い,暖かい/冷たい,丈夫な/華奢な,湿った/乾いた,高級感/安っぽい,硬い/柔らかい
1,4,4,3,3,2,2,3,3,2,3,1,4,3,3,3,3
2,2,1,2,1,1,3,2,2,2,1,1,4,4,4,2,2
3,1,1,1,2,2,2,4,2,2,2,1,4,4,4,3,1
4,2,3,2,5,5,5,5,1,3,3,1,5,4,4,3,2
5,4,4,4,2,2,2,2,4,2,3,2,3,2,4,5,2
6,2,2,1,1,1,4,2,4,2,1,1,3,4,4,3,3
7,3,2,3,4,3,5,4,2,3,3,2,4,2,4,3,1
8,4,3,2,2,2,2,5,2,4,2,1,4,4,1,4,4
9,3,4,4,2,2,1,1,3,2,2,1,3,2,4,5,1
10,1,2,2,2,3,4,1,2,2,2,1,4,4,4,1,1
11,4,4,5,3,2,3,2,3,4,4,2,2,2,4,3,2
12,2,2,1,2,1,1,2,2,1,4,1,2,4,2,4,4
13,1,1,4,2,4,1,1,2,4,2,1,5,2,4,2,1
14,4,4,2,3,4,4,4,2,1,4,1,4,3,5,1,2
15,4,2,4,1,2,2,2,5,2,2,2,2,4,4,4,2
16,3,3,4,3,2,2,3,3,2,3,1,3,4,3,3,2
17,3,4,3,4,4,4,4,3,2,4,2,3,2,4,4,2
18,3,3,2,2,3,4,2,2,1,4,1,4,3,4,3,2
19,3,4,4,4,2,2,2,2,2,2,2,4,3,4,5,2
20,3,3,2,2,2,3,3,3,2,2,2,4,4,3,2,3
21,3,3,4,2,2,2,2,2,2,2,2,2,3,4,2,2
22,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,2
23,2,2,4,2,2,4,4,2,2,2,1,4,2,4,2,2
24,2,2,2,3,3,4,4,2,4,3,2,4,2,4,2,2
25,3,3,4,3,3,3,4,2,3,3,2,3,2,3,3,2
26,2,2,2,2,2,3,2,3,1,3,3,3,5,3,3,3
27,2,2,4,3,3,3,3,2,1,1,1,2,1,2,4,2
28,2,2,4,4,3,4,4,2,3,4,2,3,4,2,4,2
29,2,2,4,1,1,2,2,4,2,2,4,3,2,2,4,3
30,1,1,2,1,1,2,2,2,3,4,2,4,2,3,3,2
31,1,2,2,1,1,3,1,5,1,4,1,1,3,4,5,1
32,4,3,3,2,2,2,2,2,2,2,2,4,4,4,2,2
33,3,3,2,3,3,4,4,2,2,2,1,4,4,3,4,1
34,1,1,3,3,3,2,3,1,3,3,1,2,3,3,2,1
35,4,4,5,4,4,5,5,1,1,2,1,5,5,5,2,1
36,3,4,4,2,3,2,2,2,5,3,4,2,2,4,3,3
37,1,1,2,1,1,5,5,2,4,2,2,2,5,2,4,4
