,良い/悪い,好きな/嫌いな,繊細な/無骨な,明るい/暗い,陽気な/陰気な,騒がしい/静かな,動的な/静的な,緊張した/緩んだ,軽い/重い,派手な/地味な,鋭い/鈍い,暖かい/冷たい,丈夫な/華奢な,湿った/乾いた,高級感/安っぽい,硬い/柔らかい
1,2,2,2,3,2,3,3,2,3,3,2,3,3,3,3,3
2,1,2,2,1,1,5,4,4,5,4,4,2,1,3,2,2
3,1,1,3,1,1,1,5,1,4,3,2,2,2,4,4,2
4,2,2,4,3,2,4,3,4,2,3,3,2,1,2,3,3
5,2,2,3,2,2,2,2,3,2,2,2,4,4,4,4,1
6,1,1,1,2,2,3,5,1,5,1,3,3,1,3,2,1
7,3,3,3,3,3,3,2,2,3,3,4,3,2,4,4,2
8,1,2,1,4,4,4,4,1,2,4,1,4,1,5,3,1
9,3,2,5,3,3,3,4,2,2,2,2,4,1,4,3,2
10,4,4,4,2,3,2,4,1,5,1,1,5,1,4,5,1
11,3,2,2,2,2,4,4,2,4,3,2,4,3,4,2,2
12,3,2,5,2,3,3,4,3,3,3,2,3,1,4,3,2
13,1,4,4,4,5,4,4,4,4,4,1,4,1,5,4,1
14,2,1,5,1,1,2,1,4,3,1,2,4,2,2,3,4
15,1,2,3,3,3,2,2,2,5,4,2,3,1,5,3,2
16,2,3,3,2,2,3,4,3,2,4,1,3,3,3,3,3
17,3,3,4,2,2,4,2,4,4,2,2,4,2,4,2,2
18,2,2,2,2,3,5,4,2,2,4,1,4,2,4,2,2
19,3,3,4,3,2,3,4,1,3,3,2,4,1,4,2,1
20,2,3,3,3,2,3,4,3,3,3,2,3,2,4,3,2
21,2,2,4,2,2,2,2,2,4,2,2,3,2,4,3,2
22,3,3,3,3,4,3,4,2,3,3,2,4,3,3,3,2
23,4,3,4,3,3,2,4,3,4,4,4,2,2,4,2,2
24,2,2,4,2,2,3,4,3,3,3,2,2,2,4,3,2
25,3,3,4,3,2,2,4,1,5,4,1,3,1,3,3,1
26,4,3,4,4,4,5,4,2,4,4,2,3,2,3,3,2
27,1,1,4,3,4,4,4,3,2,2,1,3,1,3,4,1
28,1,1,4,1,1,1,1,2,1,2,1,2,1,3,3,1
29,3,3,4,2,2,2,2,5,2,2,4,2,2,4,4,2
30,2,1,4,3,3,3,4,3,4,3,2,4,1,4,2,1
31,1,2,4,1,5,5,4,1,5,4,3,4,1,4,2,2
32,1,1,1,1,1,1,3,2,3,2,2,4,3,4,3,2
33,2,2,4,2,2,2,3,2,4,2,2,3,1,4,3,1
34,1,1,4,1,1,3,5,3,1,3,1,1,1,3,5,3
35,2,2,5,1,1,3,3,4,5,2,3,4,2,4,5,3
36,3,2,5,2,2,4,5,2,5,4,3,2,1,4,2,2
37,2,2,5,1,2,2,2,5,1,1,2,1,5,5,4,1
